Number,Word,Rating
346,unleashed,18

347,vicious,14

348,bases,1

349,arose,5

350,afghanistan,1

351,rocked,4

352,vivid,15

353,challenges,4

354,worse,3

355,previously,3

356,independent,1

357,economist,7

358,attempt,3

359,soothe,17

360,reform,9

361,enabling,10

362,agencies,4

363,developers,8

364,rajoy,1

365,plank,17

366,reform,6

367,requirement,6

368,boost,6

369,cushion,3

370,threat,1

371,assets,6

372,thousands,1

373,rallied,10

374,interior,2

375,detained,20

376,protesters,9

377,journalists,2

378,condemned,20

379,violence,2

380,probe,10

381,describing,1

382,gag,12

383,intimidate,15

384,society,1

385,opposition,6

386,rallies,1

387,expected,2

388,pro-putin,1

389,gathering,2

390,parliamentary,9

391,suggested,1

392,tiring,1

393,overshadowed,20

394,reputation,10

395,corruption,16

396,preliminary,7

397,indicate,1

398,steep,2

399,majority,1

400,immediate,7

401,announcements,1

402,negative,1

403,yields,12

404,benchmark,7

405,bonds,2

406,measure,1

407,risky,3

408,investors,4

409,lending,4

410,narrowed,8

411,bluechip,10

412,shares,1

413,moderated,9

414,holdings,1

415,repossessed,16

416,asset,1

417,conference,2

418,separate,1

419,rescues,8

420,enacted,17

421,estimated,5

422,teenage,1

423,londonderry,1

424,critical,6

425,parish,6

426,protect,1

427,continuing,3

428,connection,6

429,incident,14

430,dived,6

431,process,4

432,questioned,1

433,suspicion,20

434,assisting,8

435,offender,12

436,released,4

437,skype,2

438,activist,8

439,rebel,3

440,alongside,8

441,civilians,7

442,defend,3

443,civilians,1

444,referring,5

445,umbrella,1

446,anti-regime,8

447,militias,12

448,amateur,16

449,mosque,6

450,coffins,5

451,piled,4

452,wrapped,6

453,cloth,1

454,farmland,2

455,dotted,6

456,alawites,1

457,offshoot,8

458,sect,2

459,shiite,2

460,alhamadee,1

461,sectarian,8

462,uprising,7

463,deteriorated,19

464,anti-assad,1

465,uprising,4

466,updates,3

467,better-optimized,14

468,versions,1

469,android,1

470,smartphone,1

471,manufactures,2

472,defended,4

473,intentions,10

474,android-running,1

475,oems,4

476,apparently,6

477,argument,4

478,regulatory,4

479,hurdles,9

480,purchasing,1

481,patents,12

482,duking,14

483,java-related,4

484,patents,2

485,defend,1

486,lawsuits,10

487,vb,1

488,detained,16

489,protest,1

490,downtown,2

491,included,1

492,flare-type,14

493,fireworks,1

494,pro-kremlin,4

495,hit,1

496,euros,1

497,losses,1

498,bursting,13

499,decade-long,6

500,bubble,2

501,concerns,1

502,overspending,8

503,regional,1

504,fanned,13

505,crisis,1

506,toxic,2

507,assets,2

508,successive,10

509,waves,1

510,sector,1

511,clean-ups,6

512,convince,3

513,investors,2

514,reform,3

515,convincing,3

516,investors,1

517,solvent,18

518,strategy,4

519,bailout,18

520,expected,1

521,measures,1

522,obliging,13

523,provisions,7

524,entity,5

525,reforms,11

526,clean-up,2

527,lenders,9

528,expected,2

529,toxic,10

530,assets,4

531,announce,1

532,loans,1

533,portfolios,16

534,provisions,13

535,assets,3

536,finalised,7

537,reuters,2

538,provisions,12

539,scheme,8

540,approved,1

541,entrant,20

542,handset,4

543,announced,1

544,acquisition,20

545,bid,3

546,valuable,2

547,patents,11

548,pave,2

549,software,1

550,handset,1

551,regulators,8

552,regulators,4

553,potential,2

554,spoilers,9

555,stance,7

556,acquire,6

557,spokeswoman,8

558,confirming,2

559,urged,6

560,authorities,1

561,annul,17

562,scandal-marred,19

563,parliamentary,4

564,interfax,1

565,parliamentary,10

566,suggested,3

567,tiring,11

568,preliminary,11

569,indicate,6

570,steep,4

571,fall,1

572,majority,2

573,opposition,3

574,international,1

575,observers,1

576,poll,1

577,marred,20

578,widespread,7

579,allegations,18

580,vote-rigging,18

581,allegations,10

582,opposition,2

583,protests,1

584,crushed,5

585,pleas,5

586,ignored,3

587,kremlin-dominated,6

588,media,1

589,announcing,1

590,rally,1

591,presidency,2

592,downplayed,20

593,inevitable,7

594,examined,7

595,magherafelt,1

596,clues,6

597,incident,7

598,stunned,18

599,community,3

600,development,8

601,established,10

602,estate,1

603,seriously,2

604,believed,1

605,belfast,1

606,surgery,4

607,suspicion,15

608,assisting,5

609,offender,11

610,detained,18

611,toome,2

612,gun,1

613,emerge,17

614,decade,4

615,conflict,2

616,abroad,2

617,economic,1

618,crisis,3

619,renew,3

620,agreement,1

621,pledges,16

622,ongoing,2

623,combat,3

624,pact,4

625,envisions,18

626,wide-ranging,3

627,involvement,2

628,economic,3

629,affairs,2

630,decade,1

631,adviser,3

632,underwriter,19

633,uneven,4

634,foothold,12

635,bolster,18

636,continued,1

637,militants,3

638,neighboring,1

639,emphasis,13

640,commitment,4

641,lingering,18

642,threat,1

643,resurgence,15

644,combat,1

645,scheduled,2

646,fatally,17

647,ranged,4

648,spokesman,13

649,sheriff,1

650,sheriffs,1

651,neighbors,3

652,dawn,7

653,neighbors,4

654,calm,2

655,neighbor,1

656,heard,1

657,gunshots,3

658,neighbor,2

659,deputies,9

660,message,1

661,cremated,20

662,delegations,20

663,embassy,13

664,location,1

665,investigators,7

666,confrontation,20

667,fatally,12

668,enforcement,12

669,sources,1

670,fla,1

671,deputies,4

672,authorities,4

673,deputies,3

674,identified,5

675,warning,2

676,text,1

677,message,1

678,shootings,2

679,text,2

680,questioned,3

681,relation,3

682,remains,1

683,critically,11

684,questioned,3

685,suspicion,17

686,assisting,4

687,offender,14

688,released,2

689,arrested,2

690,connection,1

691,murder,1

692,issued,1

693,statement,3

694,suspicion,6

695,murder,2

696,custody,14

697,sussex,1

698,custody,5

699,stabbed,12

700,flat,3

701,suspicion,6

702,released,1

703,bail,6

704,investigating,8

705,episode,4

706,worsening,20

707,relations,1

708,policemen,1

709,hunted,4

710,militants,14

711,deadly,1

712,embassy,8

713,assess,11

714,damage,1

715,mission,6

716,headquarters,4

717,sources,2

718,location,1

719,embassy,6

720,authorities,8

721,spokesman,8

722,neighbors,5

723,identity,10

724,seventh,2

725,interior,2

726,wounded,6

727,witness,5

728,separate,2

729,disguised,17

730,burqas,9

731,head-to-toe,2

732,robes,2

733,worn,1

734,conservative,10

735,storm,2

736,compound,4

737,fierce,9

738,clashes,3

739,regime,6

740,armed,1

741,observatory,7

742,monitoring,6

743,initial,3

744,indicated,3

745,clashes,2

746,dawn,2

747,outskirts,17

748,rebel-held,4

749,province,5

750,investigation,4

751,surround,6

752,scene,1

753,shooting,1

754,happened,1

755,deputy,2

756,minister,2

757,tragically,16

758,shock,2

759,extend,2

760,victim,5

761,terrible,7

762,psni,4

763,spokesman,6

764,alerted,10

765,shortly,1

766,arrested,1

767,suspicion,19

768,murder,1

769,suspicion,8

770,assisting,5

771,offender,14

772,arrested,1

773,attempt,1

774,unsanctioned,17

775,rally,4

776,registered,2

777,presidency,1

778,sustained,16

779,protests,2

780,indignation,20

781,opposition,4

782,suggested,1

783,drive,1

784,retake,2

785,smoothly,3

786,expected,2

787,injured,1

788,critical,5

789,belfast,2

790,spokesperson,10

791,confirmed,4

792,undergone,10

793,surgery,2

794,shock,2

795,understand,1

796,happened,1

797,raw,10

798,injured,2

799,recovery,6

800,scene,1

801,remained,2

802,sealed,4

803,examined,3

804,forensic,15

805,regulators,9

806,deal,1

807,mobility,2

808,path,1

809,titan,7

810,acquisition,20

811,regulators,8

812,approval,2

813,conditions,1

814,rubber,2

815,stamp,1

816,included,1

817,software,1

818,gadgets,9

819,smartphones,1

820,cafe,1

821,inseparable,20

822,close,1

823,unbelievable,7

824,separated,1

825,tragedy,15

826,deputy,2

827,minister,1

828,victims,6

829,deeply,1

830,shocked,2

831,traumatised,20

832,murdered,4

833,seriously,1

834,offered,2

835,wider,2

836,community,3

837,gun,1

838,according,2

839,lt,1

840,sheriff,1

841,identified,5

842,identified,7

843,remember,1

844,shootings,2

845,worst,3

846,homicides,20

847,coworker,10

848,cremated,19

849,indication,15

850,premeditated,20

851,government,1

852,strapped,19

853,rescue,3

854,finances,1

855,overwhelmed,17

856,bailing,4

857,investors,2

858,international,2

859,bailout,13

860,government,1

861,nationalized,10

862,exposure,12

863,assets,1

864,crash,2

865,construction,1

866,sector,1

867,estimates,2

868,problematic,11

869,assets,1

870,foreclosed,16

871,estimated,1

872,assets,1

873,converting,4

874,entity,8

875,creation,2

876,merger,17

877,interfax,3

878,indignation,17

879,rising,1

880,reported,1

881,fraud,4

882,pro-kremlin,2

883,steep,5

884,majority,5

885,according,1

886,preliminary,19

887,opposition,4

888,international,1

889,marred,17

890,widespread,3

891,vote-rigging,18

892,roamed,10

893,following,1

894,protests,3

895,scandal-marred,19

896,struggle,3

897,majority,1

898,registered,2

899,presidency,1

900,sustained,11

901,indignation,17

902,opposition,2

903,held,1

904,smoothly,2

905,next-door,2

906,neighbor,5

907,awoke,8

908,gunshots,3

909,followed,1

910,neighbor,1

911,neighbor,1

912,towel,1

913,injuries,5

914,shortly,1

915,neighbor,1

916,gunshots,1

917,brevard,1

918,reported,2

919,sheriff,1

920,sheriffs,1

921,deputies,9

922,scene,3

923,pebbles,2

924,lying,2

925,lawn,5

926,safety,1

927,treated,1

928,emergency,3

929,personnel,6

930,swat,4

931,self-inflicted,20

932,gunshot,1

933,wound,1

934,pebbles,1

935,victims,6

936,identified,5

937,motive,14

938,witness,5

939,described,3

940,received,2

941,indicating,12

942,cremated,20

943,previously,5

944,domestic,1

945,disturbances,8

946,easter,2

947,arrested,3

948,domestic,2

949,incident,2

950,involving,1

951,incident,8

952,immediately,6

953,charged,7

954,murder,5

955,deputies,9

956,ranged,3

957,fatally,15

958,sought,14

959,neighbor,6

960,fatal,5

961,authorities,9

962,neighbors,1

963,dawn,9

964,spokesman,15

965,brevard,1

966,killed,1

967,outgoing,5

968,ambassador,3

969,embassy,3

970,staffers,6

971,fled,4

972,military,1

973,crowd,3

974,attacked,2

975,briefly,5

976,condition,1

977,anonymity,19

978,authorized,10

979,slated,12

980,shortly,1

981,merely,7

982,farewell,7

983,immediate,5

984,ambassador,5

985,rioters,13

986,embassy,2

987,pursued,10

988,militants,7

989,infiltrated,18

990,gorbachev,1

991,interfax,2

992,public,1

993,indignation,17

994,rising,1

995,fraud,5

996,pro-kremlin,3

997,steep,5

998,fall,1

999,majority,1

1000,preliminary,15

1001,opposition,4

1002,observers,3

1003,marred,17

1004,widespread,8

1005,vote-rigging,20

1006,thousands,1

1007,rallied,5

1008,interior,1

1009,detained,15

1010,soviet,1

1011,unrest,7

1012,alleged,11

1013,fraud,2

1014,annul,14

1015,parliamentary,10

1016,gorbachev,1

1017,urged,5

1018,indignation,10

1019,alleged,6

1020,authorities,7

1021,emergency,3

1022,breached,20

1023,gruesome,20

1024,wounds,1

1025,presumable,20

1026,delivered,2

1027,motive,10

1028,crime,1

1029,victims,4

1030,identified,5

1031,witness,4

1032,informed,5

1033,deputies,6

1034,text,1

1035,ominous,20

1036,cremated,19

1037,neighbor,1

1038,incident,7

1039,marine,2

1040,surveillance,19

1041,fulfilling,12

1042,duties,1

1043,safeguarding,16

1044,maritime,16

1045,statement,1

1046,fatally,11

1047,sought,9

1048,fatal,2

1049,authorities,5

1050,fatally,3

1051,ranged,5

1052,spokesman,10

1053,county,1

1054,dawn,8

1055,barren,12

1056,reefs,6

1057,coral,1

1058,outcrops,13

1059,overlapping,10

1060,flashpoint,18

1061,conflict,2

1062,flexed,9

1063,ambassador,3

1064,challenged,3

1065,sovereignty,20

1066,vessels,8

1067,shoal,13

1068,anonymity,17

1069,authority,4

1070,standoff,12

1071,surveillance,15

1072,spotted,1

1073,anchored,8

1074,lagoon,7

1075,bracing,19

1076,explanation,5

1077,analyst,10

1078,lenders,6

1079,aside,1

1080,provisions,16

1081,performing,4

1082,defaults,14

1083,recession,20

1084,unemployment,6

1085,government,1

1086,source,2

1087,provisions,10

1088,impact,5

1089,capital,2

1090,estimated,3

1091,rescue,9

1092,systemic,8

1093,lender,1

1094,investors,4

1095,viewed,1

1096,appetite,16

1097,intervention,16

1098,libyan,1

1099,rebels,1

1100,topple,17

1101,long-time,1

1102,ruler,1

1103,arming,2

1104,opponents,6

1105,inconclusive,20

1106,bloodshed,5

1107,fierce,4

1108,clashes,1

1109,regime,3

1110,rebels,1

1111,wounded,1

1112,observatory,3

1113,monitoring,9

1114,indicated,2

1115,troop,1

1116,destroyed,2

1117,clashes,2

1118,dawn,2

1119,outskirts,15

1120,rebel-held,1

1121,province,5

1122,lieutenant,9

1123,defected,11

1124,regime,1

1125,launched,3

1126,offensive,2

1127,sharp,2

1128,resistance,6

1129,ouster,14

1130,regime,3

1131,presumptive,20

1132,nominee,12

1133,struck,4

1134,somber,16

1135,deserve,2

1136,stake,10

1137,vital,10

1138,tragedy,10

1139,strategic,9

1140,setback,4

1141,taliban,1

1142,sanctuary,15

1143,tolerated,10

1144,sanctuary,6

1145,sacrificed,11

1146,secure,2

1147,injured,2

1148,summoned,20

1149,assistance,2

1150,threatening,6

1151,witnesses,11

1152,describe,1

1153,saloon,4

1154,discovered,4

1155,inchicore,2

1156,removed,1

1157,forensic,15

1158,examination,2

1159,gardai,1

1160,ex-soviet,2

1161,authorities,4

1162,annul,18

1163,parliamentary,11

1164,election,1

1165,fled,6

1166,regime,11

1167,looting,12

1168,observatory,8

1169,shelling,19

1170,regime,8

1171,revolution,12

1172,residents,1

1173,gunbattles,6

1174,primarily,2

1175,populated,1

1176,sunni,1

1177,backers,5

1178,alawite,3

1179,sect,4

1180,highlights,4

1181,trouble,1

1182,complex,1

1183,sectarian,15

1184,rivalries,14

1185,duck,1

1186,embassy,7

1187,drill,10

1188,avoid,1

1189,embassy,1

1190,twitter,1

1191,karzai,1

1192,pact,5

1193,threatening,7

1194,including,1

1195,neighboring,2

1196,leads,1

1197,stability,12

1198,prosperity,16

1199,development,3

1200,nor,1

1201,decade,4

1202,stood,2

1203,ceremony,5

1204,long-term,1

1205,headed,2

1206,pact,5

1207,possibility,3

1208,pursue,14

1209,remnants,20

1210,officially,1

1211,registered,1

1212,presidency,1

1213,unusually,1

1214,sustained,15

1215,protests,3

1216,indignation,20

1217,opposition,5

1218,suggested,1

1219,drive,1

1220,retake,2

1221,smoothly,1

1222,expected,1

1223,condemned,19

1224,violence,2

1225,probe,10

1226,dozens,1

1227,describing,1

1228,gag,16

1229,intimidate,15

1230,opposition,3

1231,rallies,4

1232,pro-putin,2

1233,gathering,3

1234,parliamentary,7

1235,suggested,1

1236,tiring,3

1237,putin,1

1238,overshadowed,17

1239,reputation,9

1240,corruption,13

1241,assault,8

1242,raises,2

1243,concern,3

1244,resilience,20

1245,insurgency,19

1246,anniversary,4

1247,nato,1

1248,winds,1

1249,combat,3

1250,presence,1

1251,responsibility,1

1252,assault,2

1253,riposte,18

1254,pact,1

1255,deal,1

1256,insurgents,11

1257,dismissed,3

1258,illegitimate,19

1259,commander-in-chief,7

1260,capable,1

1261,withdrawal,7

1262,crushing,1

1263,conjure,16

1264,dawn,1

1265,exhausted,6

1266,conflict,3

1267,recession,9

1268,recalling,4

1269,decade-long,1

1270,plotted,6

1271,dozens,1

1272,wounded,3

1273,violence,1

1274,observatory,9

1275,opposition,6

1276,shelled,20

1277,rebel,3

1278,reportedly,1

1279,bombardment,20

1280,shells,5

1281,destroyed,1

1282,opposition,3

1283,declined,7

1284,reuters,1

1285,satellite,4

1286,neighbouring,2

1287,armoured,12

1288,government,1

1289,troops,1

1290,province,4

1291,strategic,16

1292,stronghold,19

1293,national,1

1294,agency,2

1295,sniper,19

1296,shell,9

1297,residential,7

1298,neighborhood,1

1299,associated,1

1300,reporter,1

1301,reinforcements,20

1302,intermittent,18

1303,clashes,2

1304,continued,1

1305,gunmen,3

1306,automatic,1

1307,rifles,2

1308,rocket-propelled,7

1309,grenades,8

1310,sharply,1

1311,sectarian,13

1312,sects,6

1313,fragile,17

1314,precisely,7

1315,array,8

1316,regime,11

1317,citizens,3

1318,opposition,3

1319,rallies,9

1320,expected,1

1321,pro-putin,1

1322,gathering,4

1323,thousands,1

1324,security,1

1325,helicopters,1

1326,roamed,7

1327,protest,2

1328,authorities,3

1329,troops,1

1330,deployed,19

1331,manned,9

1332,conscripts,20

1333,condemned,18

1334,violence,1

1335,probe,12

1336,attacks,1

1337,journalists,1

1338,describing,1

1339,attempt,1

1340,gag,12

1341,intimidate,13

1342,journalists,1

1343,state-owned,2

1344,detained,12

1345,commission,1

1346,application,1

1347,affiliated,19

1348,terrorist,2

1349,independently,3

1350,verify,2

1351,violence,1

1352,severely,1

1353,restricted,6

1354,access,3

1355,monitors,3

1356,so-called,2

1357,cease-fire,13

1358,encourage,3

1359,implementation,17

1360,monitors,4

1361,provinces,7

1362,state-run,2

1363,observers,1

1364,observers,1

1365,presence,1

1366,bloodshed,15

1367,cease-fire,9

1368,supposed,2

1369,architect,16

1370,raid,4

1371,neighboring,3

1372,televised,2

1373,base,2

1374,winding,3

1375,emerge,13

1376,decade,4

1377,conflict,5

1378,abroad,3

1379,economic,2

1380,crisis,2

1381,renew,3

1382,backdrop,16

1383,armored,8

1384,nato,1

1385,taliban,2

1386,rulers,1

1387,ousted,15

1388,overthrown,15

1389,harboring,19

1390,militants,4

1391,compounds,10

1392,celebrated,4

1393,critical,8

1394,condition,2

1395,centre,2

1396,investigation,9

1397,arrested,3

1398,nearby,1

1399,toomebridge,2

1400,suspicion,11

1401,murder,1

1402,questioned,2

1403,suspicion,6

1404,assisting,3

1405,offender,10

1406,released,2

1407,unconditionally,19

1408,detectives,4

1409,priest,1

1410,believed,2

1411,protect,1

1412,deputy,3

1413,visited,1

1414,trauma,18

1415,agencies,1

1416,arrested,2

1417,attempt,2

1418,unsanctioned,18

1419,rally,4

1420,rostov-on-don,1

1421,protest,2

1422,unusually,1

1423,sustained,16

1424,indignation,20

1425,opposition,7

1426,rallied,9

1427,interior,1

1428,detained,17

1429,protesters,2

1430,opposition,4

1431,rallies,3

1432,expected,1

1433,gatherings,5

1434,expected,1

1435,register,1

1436,held,1

1437,grew,1

1438,authoritarian,20

1439,investigation,19

1440,note,2

1441,grave,9

1442,according,2

1443,neighbor,2

1444,heard,1

1445,arrived,1

1446,doorstep,4

1447,neighbor,1

1448,pebbles,2

1449,towards,1

1450,lured,20

1451,calm,3

1452,stressed,16

1453,mad,2

1454,stepped,1

1455,trillion,1

1456,sovereign,14

1457,wealth,1

1458,debt,1

1459,weakening,4

1460,nationalises,7

1461,crisis,2

1462,escalates,13

1463,bailout,11

1464,stake,5

1465,crisis,5

1466,crippling,16

1467,exposure,5

1468,classed,2

1469,problematic,10

1470,hangover,8

1471,extends,2

1472,commercial,2

1473,problematic,3

1474,assets,3

1475,seized,6

1476,portfolio,9

1477,regulators,15

1478,elsewhere,2

1479,stressed,6

1480,acquisition,20

1481,obtain,3

1482,advantage,3

1483,stabbing,11

1484,widower,12

1485,suspicion,16

1486,custody,7

1487,charged,3

1488,appeared,1

1489,lewes,1

1490,plea,10

1491,remanded,17

1492,custody,1

1493,plea,9

1494,management,2

1495,appeared,2

1496,residence,14

1497,return,1

1498,neighbor,3

1499,heard,1

1500,gunshots,3

1501,neighbor,2

1502,deputies,8

1503,cremated,20

1504,shooting,1

1505,happened,1

1506,nasa,1

1507,numerous,7

1508,famed,6

1509,shuttle,5

1510,launches,3

1511,fatally,13

1512,sought,10

1513,firing,1

1514,fatal,10

1515,authorities,7

1516,confirmed,3

1517,deadliest,9

1518,suffered,2

1519,uprising,13

1520,government,2
